Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
0.4190967082977295,-3001.36,22.25,16.34,6.63,15.66,14.39
0.5215590000152588,751.96,28.17,15.23,7.69,14.55,12.69
0.7445719242095947,1288.78,40.34,22.14,4.77,9.78,8.56
0.9036233425140381,2906.43,40.81,35.31,9.61,6.55,2.93
1.0452051162719727,-1813.61,35.72,51.95,5.22,3.22,1.43
1.2102446556091309,3169.36,45.4,48.11,2.64,1.92,0.77
1.3400814533233643,2673.96,68.9,26.28,1.9,1.28,0.63
1.492107629776001,1244.57,69.75,25.48,2.25,1.47,0.49
1.6500017642974854,-1562.28,69.74,24.78,2.99,1.57,0.46
1.9336919784545898,-1323.4,72.64,19.1,5.78,1.54,0.47
2.283290147781372,2378.74,75.57,17.09,2.89,1.77,1.01
2.4408810138702393,1779.76,60.23,34.93,3.13,0.76,0.38
2.55037522315979,-1535.62,41.18,51.04,1.3,1.35,2.43
2.6760456562042236,1060.81,31.97,29.65,10.81,12.49,9.48
2.7918810844421387,-960.35,20.21,14.17,20.93,16.17,13.76
2.912316083908081,-641.09,37.57,20.25,6.42,16.9,10.65
3.022674322128296,-2039.03,29.41,14.11,9.58,28.05,11.0
3.1507575511932373,790.64,23.05,16.98,13.7,22.89,11.89
3.274829387664795,-250.35,13.16,10.39,16.17,29.53,13.37
3.6361427307128906,1075.74,17.44,8.29,12.68,20.4,20.88
4.121542930603027,-421.39,16.1,8.63,9.36,30.49,19.09
4.591507434844971,-34.85,8.15,9.23,8.46,40.63,14.1
5.044990301132202,-319.85,4.08,4.23,11.49,41.52,24.07
5.609364748001099,-973.11,9.53,7.02,9.94,34.6,23.03
6.031346321105957,-66.1,3.84,6.85,7.67,35.36,33.03
6.609853267669678,-20.92,2.4,5.43,15.7,39.65,18.26
7.0474348068237305,632.39,5.35,4.3,13.75,35.31,28.23
7.595994472503662,396.21,2.81,3.39,27.67,37.02,18.47
8.03377652168274,160.46,1.42,2.74,46.51,23.17,16.9
8.581179141998291,573.13,3.2,3.19,38.25,23.46,18.71
9.019496440887451,797.33,7.41,2.59,33.45,24.17,20.68
9.549816131591797,-132.76,4.41,5.18,26.12,30.7,17.82
10.10546326637268,-194.29,2.04,3.32,14.38,54.83,15.04
10.607181787490845,327.97,1.47,7.35,16.46,43.02,17.77
11.111178636550903,363.03,4.77,6.91,19.75,39.6,13.47
11.550846815109253,320.48,1.52,21.73,13.82,25.12,27.03
12.09930419921875,876.96,11.87,12.39,8.19,29.74,22.9
12.584718465805054,-66.19,6.85,8.06,7.51,30.28,31.1
13.0379478931427,-593.66,4.77,5.48,21.15,27.54,27.06
13.585537910461426,-4.99,1.96,10.46,13.24,38.37,23.34
14.023279428482056,285.52,1.64,6.05,11.1,45.78,19.84
14.586216688156128,-771.71,6.17,3.74,18.28,35.62,20.0
15.056388854980469,2685.5,23.34,8.7,7.75,29.77,19.03
15.581484079360962,1089.55,10.22,6.98,17.63,36.23,18.35
16.083094358444214,1132.9,31.83,26.84,8.75,17.1,11.77
16.53648853302002,-2716.83,20.13,34.78,21.29,12.87,7.35
17.08340859413147,-985.54,16.74,25.81,21.56,23.5,7.02
17.630192041397095,3346.48,25.6,31.15,9.83,18.81,8.26
18.067917585372925,-2745.04,16.61,28.27,15.76,17.68,10.14
18.615176677703857,-1788.92,11.87,26.65,21.7,18.25,7.98
19.053221225738525,-591.22,38.45,24.89,15.67,10.88,4.25
19.6004695892334,-1829.64,31.61,21.39,12.66,20.55,6.19
20.038347959518433,-4021.5,22.35,44.58,9.12,14.12,5.21
20.585524082183838,-74.58,16.02,38.29,8.36,17.24,9.9
21.038903951644897,282.39,11.32,30.78,8.99,21.82,12.28
21.601366758346558,-518.2,4.75,17.05,16.18,22.14,22.97
22.08609366416931,-618.21,3.8,8.79,17.68,22.53,25.12
22.524362087249756,1640.23,7.83,23.96,8.65,18.03,28.77
23.072117805480957,-1658.65,11.3,17.18,13.66,17.76,26.3
