Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
0.30083608627319336,89.5,18.44,41.45,15.24,14.07,6.58
0.41452550888061523,-391.28,17.15,37.35,16.3,15.72,7.78
0.8655853271484375,-855.11,17.12,20.56,31.17,19.89,7.46
1.299353837966919,3754.78,2.88,23.81,15.98,47.34,7.04
1.8502185344696045,-5650.77,18.38,37.64,11.06,16.22,13.82
2.2879889011383057,911.31,17.8,36.3,11.04,16.84,14.91
2.784783363342285,-905.87,16.98,34.48,11.36,16.82,16.43
3.3339319229125977,-1216.17,13.48,25.97,10.75,21.13,19.43
3.776763439178467,701.72,9.08,13.65,11.19,28.97,27.58
4.32608962059021,-966.46,6.63,6.95,17.05,30.4,28.97
4.878161430358887,212.24,4.47,7.6,21.45,28.82,23.08
5.318516969680786,-198.54,2.08,4.13,13.76,31.21,36.73
5.870155572891235,-12951.26,25.47,41.39,5.16,15.0,9.7
6.309581995010376,-22657.7,51.6,11.88,10.44,14.81,8.38
6.86101508140564,-697.19,40.74,9.9,11.41,18.44,15.18
7.3010947704315186,-15381.5,38.59,12.62,11.52,15.19,13.42
7.850074768066406,-1650.36,25.46,13.3,13.2,21.77,13.24
8.29248833656311,-19270.37,54.97,25.89,6.43,6.16,3.76
8.843654155731201,1056.6,53.22,25.53,6.48,7.61,4.09
9.28443455696106,1040.69,51.21,24.87,6.66,8.74,5.1
9.834501504898071,126.91,44.05,22.23,8.04,12.06,8.97
10.291695356369019,747.42,35.82,17.13,7.12,15.6,16.11
10.843420267105103,-920.52,16.44,7.0,7.05,48.78,15.34
11.285593032836914,542.4,7.98,10.86,15.94,42.52,16.89
11.837725162506104,1775.64,8.56,8.06,21.53,33.54,21.69
12.279500484466553,651.48,10.28,9.71,22.79,30.64,18.63
12.831554412841797,-3292.4,42.45,46.23,5.94,3.39,1.4
13.305546760559082,-1970.93,37.92,39.1,8.62,9.91,3.32
13.856532335281372,-417.4,30.3,35.08,8.44,14.48,8.79
14.284379243850708,8456.8,52.17,38.33,4.98,2.31,1.45
14.833279132843018,1794.65,48.52,36.84,6.19,3.93,2.39
15.27805471420288,-5957.39,28.3,44.5,19.81,4.7,1.63
15.829790592193604,142.41,27.58,42.74,19.57,5.98,2.58
16.378798246383667,516.62,25.83,39.61,18.85,9.13,4.43
16.817354917526245,694.98,23.7,32.13,19.51,14.29,5.59
17.36802077293396,-8580.3,29.08,56.7,11.12,1.87,0.97
17.80861210823059,1177.39,27.95,53.59,10.99,4.54,2.13
18.3617947101593,164.16,27.01,51.78,11.14,5.87,2.83
18.815550327301025,749.32,25.48,46.58,10.69,8.94,5.05
19.36636757850647,24.43,15.2,31.94,19.76,13.91,12.5
19.807398557662964,-8075.09,20.17,45.27,24.83,7.71,1.58
20.376034259796143,516.99,19.43,42.03,24.75,10.28,2.55
20.800583839416504,-113.94,17.15,37.48,23.96,12.36,6.5
21.353299856185913,-1480.69,6.25,14.63,12.38,33.17,29.58
21.793678998947144,-429.3,5.29,12.02,11.65,34.39,29.05
22.346092224121094,8963.01,34.11,50.01,4.92,4.06,5.75
22.786699295043945,7017.31,48.97,35.14,3.6,4.78,5.68
23.337013244628906,-35.18,29.09,41.04,20.81,4.56,3.52
23.777173280715942,-21260.77,67.87,21.51,7.5,1.65,1.05
24.328038692474365,12618.67,56.38,35.45,4.42,1.65,1.52
24.86579918861389,-14305.18,62.97,29.41,2.91,2.19,1.72
25.306206464767456,1899.31,61.33,28.53,3.29,2.81,2.81
25.85714054107666,-792.91,56.05,26.42,3.98,6.56,4.75
26.298296451568604,793.45,43.68,23.24,6.61,15.1,7.0
26.849457502365112,1739.32,30.15,32.81,13.45,9.9,7.83
27.29107403755188,432.07,33.5,23.52,16.59,12.11,8.56
27.84070062637329,6033.13,18.47,55.1,21.55,2.51,1.63
28.298556566238403,1042.05,15.23,40.92,17.46,9.44,15.63
28.85023283958435,-554.95,13.97,36.09,17.59,12.63,17.5
29.293484926223755,1923.66,11.4,46.9,16.84,12.03,10.54
29.844106912612915,717.26,9.2,31.56,19.25,18.55,15.83
30.28612995147705,602.0,8.33,22.11,18.8,23.28,20.52
30.838594913482666,-133.79,3.95,12.16,20.61,37.81,16.98
31.280360221862793,-72.5,1.27,9.75,7.78,46.76,26.99
31.81579351425171,-139.18,1.5,6.77,15.85,42.3,22.77
32.367491245269775,-618.71,4.54,5.27,14.45,32.59,29.78
32.80794954299927,-3369.09,61.47,20.26,12.14,2.69,2.74
33.361796379089355,19302.79,45.13,43.32,4.82,3.14,2.5
33.801140785217285,12849.55,44.02,41.53,7.07,4.16,1.7
34.35539436340332,-5729.01,47.43,35.89,8.95,4.69,1.58
34.793652296066284,3140.15,38.37,33.2,19.24,5.18,2.28
35.329941749572754,6500.07,42.81,24.33,22.66,6.64,1.95
35.772332191467285,-2756.8,30.94,32.76,22.72,7.81,3.26
36.32571268081665,3535.07,16.36,30.34,19.49,20.56,9.88
36.87590837478638,730.51,9.53,32.43,26.29,17.85,11.62
37.30529499053955,343.2,10.38,28.29,47.59,7.24,5.2
37.852057218551636,-3987.98,24.41,59.71,12.48,1.94,1.02
38.29375457763672,-18473.25,55.06,33.79,9.08,1.13,0.64
38.84386897087097,1018.56,22.1,62.45,11.16,2.72,0.84
39.26845955848694,-4478.5,25.03,51.14,14.82,5.73,1.41
39.819682121276855,-329.31,22.06,45.85,20.13,7.55,2.38
40.368627071380615,3399.7,32.91,51.91,11.17,2.14,0.99
40.80952072143555,4124.85,33.31,45.35,13.38,3.9,2.09
41.359793186187744,135.28,28.49,39.06,16.2,7.21,6.07
41.78465795516968,-128.2,20.1,27.91,21.67,14.33,11.69
42.33639478683472,-131.52,15.54,20.61,21.8,24.87,13.04
42.78052043914795,86.19,7.77,11.91,22.14,34.3,18.87
43.317115783691406,-469.38,6.35,13.8,25.16,34.15,15.01
43.86842751502991,160.12,8.4,20.91,13.35,33.59,16.31
44.30864214897156,-2095.71,32.84,12.63,17.97,17.16,14.21
44.85966181755066,588.32,28.68,20.06,16.47,12.56,15.45
45.30126667022705,1139.75,25.37,21.55,10.62,20.78,16.24
45.85252332687378,686.08,14.6,13.65,11.45,27.7,27.37
46.29262566566467,-1669.65,12.14,57.48,18.93,6.63,3.62
46.84429335594177,609.62,10.58,50.08,18.71,9.75,8.0
47.270427227020264,446.4,8.68,38.62,22.21,14.97,11.38
47.823386907577515,-265.14,5.43,36.45,22.5,16.48,13.91
48.3751962184906,-5150.87,17.53,50.36,25.09,4.75,1.67
48.80134439468384,-97.3,14.59,42.19,26.7,10.36,3.96
49.352505683898926,225.12,10.96,32.44,28.96,18.21,5.87
49.793790340423584,-285.49,6.14,18.11,27.63,26.58,17.39
50.329793214797974,66.49,3.02,9.47,42.35,26.51,13.08
50.770310163497925,-38.08,1.69,6.75,30.6,39.44,15.04
51.32124447822571,36.17,1.11,4.57,24.63,36.28,25.11
51.872374534606934,-713.68,3.94,3.84,17.02,40.89,25.69
52.312437534332275,6039.93,13.15,57.44,19.09,7.47,2.28
52.86339712142944,8187.45,16.66,53.37,21.56,5.11,2.66
53.30581855773926,1423.88,15.12,48.87,20.62,8.04,5.49
53.855714559555054,1400.18,14.57,37.23,20.26,17.53,7.98
54.296849966049194,-2262.96,11.71,18.01,23.08,33.13,9.92
54.84645223617554,153.08,7.67,12.34,22.15,35.59,14.93
55.287559270858765,-923.52,7.46,9.96,18.82,32.39,20.45
55.83915972709656,459.53,2.64,6.42,19.21,41.72,22.07
56.28058171272278,1811.28,5.38,9.46,15.87,36.75,23.3
56.83094143867493,-36.5,5.77,6.74,15.18,39.49,24.99
57.271987199783325,-1041.15,8.37,11.86,13.7,35.27,22.88
57.82290816307068,-906.68,4.61,5.91,22.84,34.46,24.92
58.37444734573364,-3886.56,18.19,41.81,23.63,10.58,4.14
58.81551742553711,34.57,18.36,30.3,18.82,18.48,6.98
59.36631107330322,-665.51,10.54,28.99,28.7,21.62,5.72
59.80702996253967,-504.48,8.38,24.03,24.68,27.75,9.38
60.36266589164734,-11667.18,26.25,47.7,12.96,7.44,4.07
60.816447734832764,193.51,24.42,44.65,13.06,9.79,5.71
61.36886215209961,964.63,21.45,50.13,22.96,3.2,1.67
61.808013916015625,860.5,21.22,48.03,22.49,4.22,2.94
62.36186408996582,-1615.29,16.77,44.91,23.23,10.57,2.91
62.818217039108276,3726.49,21.37,34.65,24.51,13.01,4.81
63.36765098571777,6753.83,17.45,52.41,24.29,3.95,1.48
63.809224367141724,1107.27,15.8,47.64,22.64,8.17,4.55
64.36180782318115,-6148.77,18.79,55.43,20.55,3.69,1.11
64.79984760284424,-2789.28,17.01,54.32,19.89,7.27,1.0
65.35244870185852,5170.48,21.14,49.15,23.28,4.41,1.13
65.79363656044006,9386.54,29.91,39.76,14.3,10.04,4.28
66.34375333786011,2463.94,22.17,57.01,12.42,4.76,2.83
66.78456139564514,-7095.59,20.28,55.08,16.96,4.2,2.84
67.33538436889648,-9724.48,33.59,36.44,13.3,11.34,3.33
67.775639295578,7085.36,26.26,26.96,15.14,21.79,5.7
68.32836484909058,-23337.44,52.6,30.56,7.9,6.17,1.68
68.8665599822998,681.87,51.97,30.32,8.06,6.52,1.91
69.30459332466125,1762.93,51.44,30.05,6.63,7.11,3.36
69.85777974128723,-268.55,49.37,29.05,7.08,9.06,3.65
70.29631757736206,4251.42,21.21,63.53,7.64,6.08,1.05
70.86511206626892,1033.47,16.74,52.07,12.26,7.22,8.51
71.30646467208862,-1474.6,23.95,52.64,17.69,3.54,1.48
