Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
0.4292161464691162,1211.16,4.69,8.06,10.34,22.81,21.53
0.533761739730835,827.8,19.67,18.58,11.71,14.92,13.97
0.6912040710449219,-1685.19,11.88,57.77,8.2,8.2,5.34
0.8168759346008301,4027.97,52.61,32.35,5.65,3.56,2.23
0.9325220584869385,-350.87,48.94,37.34,5.7,3.09,1.94
1.04229736328125,-276.67,41.52,43.81,5.44,3.46,2.21
1.1614840030670166,-3656.66,47.26,43.05,4.27,2.68,0.97
1.2997117042541504,-8372.71,84.38,12.96,0.75,0.76,0.43
1.4239134788513184,8789.54,79.17,14.34,2.93,2.15,0.54
1.548675537109375,-2049.14,69.65,18.46,5.85,3.47,0.97
1.6692681312561035,-1320.3,69.76,17.75,6.27,3.6,0.98
1.7726154327392578,-725.38,72.6,15.29,6.8,3.07,0.86
1.8916316032409668,-963.92,53.66,29.47,12.16,2.76,0.91
2.0009195804595947,3896.11,82.45,14.07,2.14,1.01,0.24
2.1121666431427,10574.33,79.34,14.4,3.41,2.33,0.35
2.23480224609375,-4443.18,76.7,14.33,3.85,2.6,0.88
2.3512303829193115,9361.66,81.54,10.6,2.37,2.14,1.21
2.4622557163238525,2026.4,81.44,10.75,2.35,2.13,1.21
2.5738492012023926,1288.15,81.65,10.66,2.36,2.09,1.17
2.7659261226654053,-2096.67,78.97,12.96,3.06,2.1,1.06
2.888819932937622,532.15,45.63,40.42,5.02,5.36,1.35
3.123745918273926,14290.58,91.23,6.52,1.19,0.72,0.17
3.2367279529571533,2911.27,63.72,22.22,8.07,3.5,0.94
3.346632480621338,-7902.64,61.81,23.86,7.42,4.17,1.06
3.458770990371704,-680.49,61.71,24.39,6.72,4.07,1.23
3.5681817531585693,-859.08,66.99,20.81,5.88,3.65,1.06
3.6808066368103027,-80.83,68.34,19.96,5.59,3.5,1.06
3.78944730758667,579.88,38.56,49.05,8.39,2.56,0.68
3.9009859561920166,-5375.36,75.64,21.24,1.23,1.01,0.32
4.01014256477356,-11745.99,89.47,8.49,1.22,0.64,0.11
4.1221091747283936,-14354.11,91.73,4.69,1.7,1.03,0.46
4.233908653259277,-2421.31,90.28,5.37,2.17,1.35,0.46
4.35972261428833,-539.08,88.64,6.7,2.4,1.41,0.47
4.471096038818359,-813.89,84.79,8.96,3.28,1.97,0.54
4.583877801895142,669.17,67.74,20.22,5.73,2.81,1.37
4.695220470428467,741.11,61.4,15.32,16.26,3.31,1.37
4.803750038146973,774.07,65.42,19.68,9.36,2.45,1.19
4.915167808532715,59.38,39.59,48.83,8.7,1.38,0.58
5.024980545043945,2860.78,58.11,25.07,10.24,4.3,0.93
5.135628700256348,3226.89,50.99,23.4,13.98,6.18,2.03
5.245752811431885,-12607.64,50.14,46.95,1.13,0.8,0.42
5.356103420257568,886.74,48.75,45.44,2.7,1.11,1.13
5.469186782836914,589.93,44.46,40.17,6.9,3.88,2.45
5.5834550857543945,-582.2,33.3,39.01,15.07,6.79,2.44
5.692706346511841,-154.51,29.83,32.59,14.69,13.47,4.09
5.803767204284668,567.68,24.33,32.67,15.53,14.81,4.67
5.912684202194214,-421.3,22.45,29.35,13.26,17.08,6.86
6.022555828094482,98.28,21.56,20.61,23.02,22.93,5.76
6.1324121952056885,5.16,17.24,16.48,16.62,27.4,12.99
6.243808746337891,-757.11,14.94,47.49,28.41,6.83,1.07
6.355451822280884,-344.76,14.7,48.94,22.13,10.11,2.01
6.466912746429443,29.18,12.81,43.3,22.27,12.87,4.8
6.69134259223938,471.52,10.71,32.64,27.46,14.07,8.26
7.2399513721466064,-864.46,13.71,28.96,24.94,15.37,7.98
7.684724807739258,-558.89,11.82,25.0,20.01,22.77,6.57
8.253371000289917,-218.19,7.42,15.54,24.3,26.79,10.96
8.69582200050354,88.89,4.2,15.39,25.53,29.22,13.04
9.247694253921509,-267.42,4.1,8.05,30.22,25.83,19.48
9.688315629959106,281.23,7.66,6.35,31.85,25.83,14.18
10.239555358886719,787.67,16.23,16.53,21.36,28.98,9.1
10.678470611572266,0.56,6.4,28.88,28.1,16.91,8.3
11.230691909790039,-24.22,7.88,17.81,32.1,20.72,9.1
11.671207189559937,19.76,4.97,12.12,29.58,33.39,6.65
12.22527003288269,227.26,7.32,21.37,30.12,21.85,7.03
12.77848196029663,687.7,21.49,17.27,14.24,21.4,11.05
13.216678142547607,-271.73,6.66,22.66,30.97,25.07,5.5
13.769090414047241,74.46,4.33,14.17,31.92,29.02,9.02
