Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
48.102681398391724,-9934.14,80.23,14.7,3.08,1.03,0.46
48.54515099525452,587.38,69.79,17.63,7.47,2.55,1.71
49.10001611709595,1880.61,62.77,14.72,14.29,3.22,3.42
49.543328046798706,-210.22,30.68,9.44,49.01,3.93,3.41
50.09498620033264,2078.16,30.81,12.44,43.27,6.68,3.73
50.53889346122742,149.93,17.46,8.56,56.01,7.88,5.97
51.09197998046875,-126.59,15.9,25.53,46.86,4.64,3.25
51.53364109992981,-51.62,8.61,28.26,43.95,9.4,5.08
52.08317828178406,-2064.37,18.59,37.52,29.88,5.95,4.54
52.5423948764801,576.82,9.61,41.16,36.95,5.58,3.33
53.093576431274414,558.54,17.56,24.49,42.14,9.28,3.07
53.53546166419983,114.17,42.34,25.38,22.49,5.64,2.24
54.08849787712097,-530.18,30.87,14.7,38.14,9.9,3.01
54.530675411224365,-2533.03,36.55,28.15,25.06,4.83,3.6
55.07178807258606,1906.3,26.97,30.28,29.16,8.18,3.81
55.52614784240723,-9362.05,61.27,25.15,9.18,2.97,0.94
56.07693147659302,-622.11,57.46,24.1,9.27,5.67,2.38
56.51898717880249,186.94,54.22,24.6,9.22,6.82,3.12
57.05583739280701,-136.06,42.21,19.52,14.5,11.5,7.05
57.60823440551758,923.22,21.59,36.67,33.12,6.11,1.55
58.04878640174866,4005.42,31.79,30.96,26.29,7.0,2.0
58.615498781204224,737.45,29.07,29.33,27.54,8.77,2.72
59.0457820892334,-793.96,23.42,31.06,21.99,10.68,4.26
59.59469175338745,-928.26,23.52,32.24,15.21,16.95,4.78
60.03726387023926,-267.35,14.0,21.51,16.38,32.71,6.73
60.60416030883789,-123.78,9.21,16.5,21.04,35.76,8.07
61.04669165611267,-86.95,5.56,8.8,42.96,29.1,7.68
61.59780526161194,6.63,2.26,15.02,46.37,23.94,7.04
62.03770875930786,-615.0,6.97,7.71,42.3,29.13,7.35
62.590104818344116,429.81,7.8,10.64,43.07,21.62,10.8
63.02901744842529,-8.02,3.91,17.33,32.88,25.66,9.42
63.58014750480652,-1040.57,5.32,6.46,24.55,49.59,11.72
64.02246952056885,1570.22,3.29,4.27,24.59,46.32,13.98
64.57466340065002,-9930.92,24.42,35.75,12.78,16.53,7.4
65.12375020980835,-940.82,18.8,26.72,15.17,22.09,13.18
65.56585764884949,-853.45,16.4,24.62,17.16,22.83,14.29
66.02119970321655,191.36,13.18,19.87,17.91,30.76,12.91
66.57139873504639,1128.74,13.88,18.01,14.65,37.0,10.64
67.12296772003174,696.32,11.44,25.17,20.09,26.8,8.62
67.56360936164856,707.5,17.33,20.68,20.65,23.43,10.39
68.11474227905273,-73.48,9.97,17.07,29.26,22.6,9.61
68.55516576766968,437.33,9.64,11.41,20.68,23.54,20.24
69.10661435127258,292.82,6.12,9.31,13.67,34.69,18.14
69.5477967262268,713.94,11.32,7.05,13.48,26.83,21.53
70.09879994392395,-1260.06,17.18,18.76,18.81,25.19,8.01
70.53900504112244,-9825.48,40.8,39.54,10.69,6.18,1.35
71.09131455421448,-872.57,35.46,35.57,19.65,6.22,1.58
71.53197288513184,-1290.07,34.01,31.63,20.37,8.47,2.98
72.08368039131165,-2844.74,52.69,17.18,21.62,4.28,2.5
72.52252078056335,788.38,16.05,58.05,19.36,3.19,2.18
73.07393789291382,-598.7,30.22,45.16,16.44,4.78,1.89
73.51712274551392,-2718.28,38.78,28.69,23.02,5.96,1.93
74.06662631034851,-975.43,23.8,23.08,41.94,5.81,2.56
74.60248637199402,-9235.05,61.74,30.36,6.27,0.82,0.5
75.04260087013245,1201.99,60.52,29.67,6.47,1.49,1.07
75.59122204780579,-357.72,26.19,37.62,29.34,4.8,1.27
76.03135991096497,4092.21,28.69,34.87,25.18,5.68,3.51
76.58444094657898,-174.17,24.58,29.93,22.96,12.05,7.22
77.12225937843323,-4540.91,22.18,47.09,20.23,6.94,2.77
77.56330180168152,-1037.1,31.75,41.16,13.63,7.74,4.24
78.11627507209778,747.56,41.93,42.17,7.44,4.93,2.0
78.55980014801025,436.17,40.95,41.17,8.35,5.51,2.33
79.11261463165283,153.12,39.08,40.48,9.61,6.03,2.81
79.57343935966492,-776.43,37.05,36.97,11.78,6.97,3.72
80.12659883499146,1948.44,27.22,37.43,11.22,15.46,6.03
80.55938172340393,-45.47,13.43,18.25,6.91,28.28,29.47
81.11133098602295,-2541.78,31.36,22.76,10.86,16.49,14.82
81.55970692634583,-2757.16,25.47,45.23,20.37,4.6,2.54
82.10760855674744,3594.51,32.77,52.71,7.45,4.12,1.59
82.55087757110596,-282.93,32.52,52.28,7.63,4.37,1.73
83.09910845756531,444.74,31.21,51.65,7.6,5.66,2.04
83.54142546653748,6160.11,20.91,29.77,28.98,11.24,6.81
84.09446477890015,96.07,18.61,26.51,29.67,13.15,8.03
84.53577160835266,3057.1,18.1,56.37,17.28,4.8,2.28
85.1037962436676,160.84,17.52,54.42,17.6,6.35,2.61
85.54832625389099,135.15,16.72,51.8,18.57,7.93,3.17
86.09833812713623,57.95,13.26,48.05,20.46,9.75,5.51
86.54010725021362,223.97,11.45,33.59,16.8,15.42,13.84
87.0931408405304,6745.68,36.51,49.2,8.12,3.5,1.8
87.53758001327515,73.16,33.13,46.69,10.23,5.81,2.94
88.07478618621826,-163.52,27.12,38.49,10.43,15.91,5.48
88.5169882774353,-112.58,16.36,32.19,24.64,20.26,4.82
89.06593823432922,-788.23,14.54,30.6,22.34,23.07,6.21
89.52394127845764,579.51,16.58,20.82,29.46,20.85,8.21
90.0755763053894,935.4,17.15,25.44,23.33,20.98,9.3
90.51893401145935,-228.63,10.84,26.72,21.87,24.17,8.91
91.07268643379211,6484.85,14.82,61.51,20.87,2.22,0.26
91.62219643592834,1106.34,15.21,59.41,21.07,3.02,0.65
92.06299185752869,-99.43,14.44,56.42,22.56,4.69,0.99
92.61455750465393,-470.65,12.94,47.03,29.67,6.2,2.59
93.03897404670715,386.93,10.98,35.18,38.88,8.73,3.68
