Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
114.87684941291809,-397.1,23.37,8.9,33.62,15.37,11.85
115.43055534362793,31.9,14.71,14.5,32.64,20.22,11.84
115.870356798172,666.44,17.35,14.06,33.52,18.87,10.33
116.42537307739258,431.71,14.37,24.62,29.58,20.61,6.88
116.86593842506409,-289.59,9.3,13.09,28.53,32.6,11.32
117.41897344589233,115.79,10.84,16.68,19.49,34.02,12.3
117.86180806159973,3129.34,18.05,45.89,32.59,1.75,0.76
118.39831233024597,3679.19,25.05,41.87,26.04,4.29,1.19
118.95124912261963,-164.6,23.84,40.51,25.47,5.35,2.95
119.3929271697998,-1240.07,27.48,31.06,24.76,8.6,5.16
119.94419813156128,52.0,26.58,32.29,18.85,12.75,6.63
120.38780474662781,1381.16,40.61,22.41,13.8,14.07,6.01
120.94002985954285,-517.94,33.33,19.97,13.93,19.18,8.76
121.37924599647522,919.83,4.06,3.33,18.81,34.68,23.27
121.91595435142517,-6760.71,24.01,30.49,14.99,17.98,9.02
122.37394952774048,7478.1,19.3,55.49,11.82,8.66,3.54
122.92609000205994,1533.89,18.29,49.57,11.9,13.19,5.48
123.36831331253052,116.63,16.65,47.16,13.5,14.86,5.88
123.9202036857605,324.87,16.14,42.05,14.7,17.44,7.11
124.36226725578308,-85.71,20.93,32.8,13.44,16.76,10.84
124.91540718078613,-741.35,19.54,23.34,17.29,23.18,10.04
125.35486102104187,-2919.0,32.14,22.39,18.31,19.23,4.56
125.90762686729431,313.36,17.84,37.78,15.04,20.62,4.85
126.46021366119385,-2155.7,25.68,24.63,20.84,17.61,6.34
126.90205407142639,-1131.95,16.77,31.91,19.45,16.18,9.41
