Time (s),Raw,Delta,Theta,Alpha,Beta,Gamma
0.3021855354309082,-1112.55,43.36,38.68,4.56,8.3,3.2
0.4116554260253906,9.24,43.36,38.68,4.56,8.3,3.2
0.9630234241485596,-29343.23,48.64,40.21,3.86,5.71,1.34
1.4005167484283447,-6925.43,42.93,43.39,5.65,6.59,1.23
1.9581341743469238,-39.26,42.86,43.33,5.65,6.58,1.24
2.4034478664398193,6300.14,23.57,31.53,21.56,19.01,1.17
2.952810049057007,37.88,23.51,31.44,21.5,18.97,1.2
3.3958802223205566,17135.93,69.08,15.87,7.82,5.03,1.05
3.9496185779571533,-1.09,69.07,15.87,7.82,5.03,1.05
4.393540382385254,-36059.96,79.53,9.99,5.06,3.53,0.85
4.961692810058594,1.64,79.53,9.99,5.06,3.53,0.85
5.405970811843872,16.54,79.53,9.99,5.06,3.53,0.85
5.957997560501099,50508.94,69.83,17.8,7.02,4.35,0.74
6.3855345249176025,-6.49,69.82,17.79,7.02,4.35,0.74
6.9427125453948975,52309.02,81.17,10.16,4.09,3.75,0.67
7.367876291275024,18250.41,76.26,13.11,5.71,3.35,0.77
7.922635078430176,-12995.31,68.07,16.01,10.24,3.73,1.08
8.36421823501587,-4539.33,42.32,41.49,8.38,4.86,1.77
8.915823698043823,-5785.05,43.96,30.55,13.45,9.0,1.93
9.467651844024658,17849.49,63.33,17.36,10.21,6.33,1.55
9.910340547561646,-48837.37,78.77,10.83,5.12,4.05,0.82
10.447265148162842,-38667.02,80.4,9.66,4.34,3.86,0.89
10.890545129776001,38356.19,63.75,24.86,5.53,4.28,0.81
11.429265022277832,-5117.71,47.23,38.35,6.55,5.79,1.19
11.869723081588745,-14622.33,49.17,37.82,4.86,6.11,1.27
12.422155857086182,3151.19,48.04,36.91,5.72,7.0,1.43
12.864745616912842,-592.34,43.95,34.31,7.81,9.14,3.26
13.429994583129883,1825.56,30.59,40.47,16.59,6.81,3.22
13.874695301055908,294.69,28.6,37.82,15.73,8.86,5.41
14.433748722076416,-430.47,24.22,32.24,15.75,12.83,9.71
15.040270566940308,-612.82,17.33,22.64,14.72,18.24,19.86
15.409090042114258,-3974.9,10.28,12.66,7.94,43.39,16.72
15.866944313049316,2308.32,8.51,35.84,24.05,19.16,7.61
16.4171199798584,-9078.14,27.68,42.73,18.09,6.75,3.17
16.969711780548096,-527.65,26.59,40.35,18.05,7.89,4.56
17.411762714385986,2014.55,20.37,41.65,17.77,10.44,6.14
17.96544623374939,35.15,15.18,38.33,17.57,13.81,9.27
18.406595945358276,374.32,10.54,34.79,14.24,17.67,13.05
18.958235025405884,200.14,5.39,19.71,14.66,38.75,12.01
19.38438105583191,-268.07,3.22,10.45,9.07,30.95,33.41
19.934611558914185,549.31,3.08,4.82,12.92,41.06,22.66
20.374128580093384,-92.41,2.99,3.37,20.45,28.1,29.46
20.92299485206604,155.04,1.27,11.74,15.85,24.33,34.6
21.362114429473877,-590.8,3.36,9.57,13.86,18.95,36.49
21.896222352981567,191.13,4.5,12.72,19.51,18.25,27.88
22.44703507423401,2.29,6.02,9.85,10.64,29.94,25.25
22.886948347091675,-41.57,1.79,7.22,24.99,29.32,23.73
23.437994718551636,251.64,3.53,4.04,14.25,31.92,27.41
23.878849029541016,186.44,4.74,3.81,9.35,33.97,31.23
24.415169954299927,685.91,3.38,2.24,10.77,22.52,46.78
24.857663869857788,-775.41,4.28,3.09,9.62,22.95,39.32
25.409035444259644,-12.78,2.03,17.89,11.67,28.48,25.59
25.96111750602722,385.01,2.22,13.46,10.96,30.59,27.67
26.401764154434204,-378.72,3.0,9.87,8.1,24.34,43.49
26.95378351211548,1191.36,6.3,3.33,6.43,26.94,45.5
27.394084215164185,1017.32,11.79,40.22,20.55,13.57,8.39
27.948362588882446,7687.27,13.61,34.8,8.48,28.56,11.19
28.388254165649414,3315.27,23.41,46.58,11.41,11.22,4.74
28.939602613449097,7492.75,36.08,36.3,10.54,10.32,4.4
29.380312204360962,-32.34,34.54,35.17,10.79,10.64,6.04
29.930047750473022,750.41,29.42,29.25,11.53,18.07,7.72
30.371790647506714,88.42,22.18,22.58,13.53,27.5,8.72
30.920453310012817,697.96,15.29,25.78,12.62,25.89,11.19
31.361901998519897,-393.24,14.7,18.26,13.04,29.09,12.15
31.912914037704468,-22955.09,62.59,24.9,5.39,3.85,1.53
32.46383333206177,13.58,62.59,24.9,5.39,3.85,1.53
32.904526233673096,-10.82,62.59,24.9,5.39,3.86,1.53
33.45454978942871,50461.26,72.12,14.49,7.11,4.16,1.03
33.8952796459198,-14.41,72.12,14.49,7.11,4.16,1.03
34.446749448776245,-4548.6,36.64,12.44,30.94,14.88,2.99
34.8873496055603,49.2,36.55,12.42,30.87,14.85,3.01
35.438923835754395,4018.12,33.49,18.22,29.32,14.17,2.69
35.878559827804565,15122.46,23.57,22.24,34.41,18.23,1.14
36.42848992347717,-8230.53,24.37,35.74,27.68,8.52,1.49
36.86913585662842,-48284.19,56.74,21.36,13.8,6.93,0.69
37.421536684036255,95.98,56.74,21.36,13.8,6.93,0.69
37.87980389595032,-0.86,56.74,21.36,13.8,6.93,0.69
38.42998647689819,-32.12,56.74,21.36,13.8,6.93,0.69
38.87098741531372,0.61,56.74,21.36,13.8,6.93,0.69
39.420344829559326,-22932.1,68.28,22.49,4.39,2.75,0.83
39.86097574234009,717.0,67.12,22.08,4.88,3.33,1.14
40.411641359329224,21.36,64.24,21.58,5.44,5.24,1.67
40.97828030586243,-7611.33,27.34,54.34,12.27,4.16,1.29
41.41945290565491,1982.33,24.05,55.4,15.51,3.67,0.94
41.85978841781616,1045.2,24.4,53.81,15.57,4.2,1.26
42.41098380088806,186.71,22.83,51.92,16.54,4.8,2.22
42.9623498916626,-203.28,23.13,44.13,19.6,7.24,2.68
43.40180683135986,1028.94,21.88,49.69,15.96,5.75,3.59
43.95288062095642,676.42,16.94,42.84,17.23,11.48,6.32
44.394065618515015,298.66,13.33,30.43,16.74,19.85,10.5
44.94387984275818,-132.31,6.08,12.96,25.82,30.53,14.1
45.384533166885376,140.29,6.75,16.08,26.23,26.51,12.84
45.9340615272522,460.24,7.94,10.51,23.14,27.63,12.81
46.376176834106445,-405.16,5.22,20.93,20.46,31.6,8.14
46.92705988883972,528.62,5.46,9.4,28.61,27.73,10.69
47.36688303947449,226.11,3.98,6.23,21.36,34.47,15.55
47.919628858566284,-424.51,5.96,6.93,17.46,36.03,13.72
48.3583984375,303.13,6.58,5.3,10.24,41.67,15.13
48.91105604171753,35.73,2.43,7.69,15.97,42.08,16.43
49.463353395462036,255.14,3.0,6.06,53.15,21.2,8.27
49.90424466133118,-131.13,7.9,11.92,38.58,20.39,9.16
50.45564532279968,260.18,5.65,7.83,35.04,24.79,11.94
50.89835715293884,-79.84,6.94,19.86,20.28,23.19,11.02
51.4483437538147,-160.91,6.28,19.09,27.91,22.38,9.83
51.88954520225525,-508.67,8.68,20.12,24.6,23.49,8.02
52.44009208679199,-446.62,6.7,31.37,20.73,20.74,7.94
52.881098985672,454.78,7.71,20.12,18.44,30.85,9.55
53.431461334228516,-267.78,6.91,13.35,19.19,34.35,11.35
53.871562004089355,67.37,4.5,12.44,22.45,24.09,17.42
54.42521619796753,-260.95,4.47,24.23,11.52,24.59,16.85
54.95942664146423,-10.7,3.45,24.17,17.44,20.64,15.31
55.399335861206055,-39.55,1.22,19.16,22.27,26.64,11.77
55.95075821876526,289.89,4.55,20.66,13.37,29.26,11.13
56.39155864715576,303.73,10.06,11.78,22.08,36.17,7.18
56.94169640541077,-592.52,9.87,9.33,23.26,35.59,10.91
57.38176202774048,1046.64,20.45,8.54,25.2,30.53,6.57
57.93356466293335,346.39,12.46,24.08,21.06,26.77,5.34
58.37373423576355,-1660.64,27.44,34.57,26.49,5.21,2.55
58.925213098526,4377.06,41.01,31.51,14.9,5.1,3.95
59.366188049316406,665.08,36.73,28.53,14.71,8.85,4.92
59.917410373687744,-3249.74,28.27,45.12,15.31,6.63,2.24
60.35687565803528,-1625.35,24.32,30.59,21.91,14.98,4.67
60.90905237197876,289.5,15.83,23.14,26.07,20.71,7.92
61.4444739818573,5541.05,12.3,24.89,15.86,25.87,18.9
61.88460350036621,-1343.63,11.23,25.63,22.59,22.59,14.68
62.4351224899292,3495.37,31.17,44.85,10.31,7.33,4.79
62.87551832199097,2264.24,31.21,41.04,10.41,8.47,5.72
63.4257869720459,-7750.9,20.58,17.77,28.12,22.79,6.85
63.86562132835388,-1401.47,12.66,14.23,28.52,29.92,9.09
64.41502642631531,-7421.63,22.02,33.51,18.2,17.02,4.93
64.85560369491577,267.47,19.59,30.63,17.08,18.02,5.51
65.405846118927,812.91,16.19,25.06,14.73,19.87,11.37
65.95482635498047,-737.46,16.42,34.14,19.05,14.18,10.25
66.3955008983612,-1539.94,14.77,31.62,23.0,15.15,9.53
66.94516158103943,1502.11,30.04,50.22,7.25,6.41,3.67
67.38560962677002,-3243.78,30.3,45.5,13.74,5.46,3.37
67.93852043151855,-2885.16,12.9,39.61,35.77,8.75,2.1
68.39217758178711,4833.75,11.41,46.27,33.55,6.33,1.45
68.94300365447998,1657.65,11.77,44.27,32.43,7.44,2.09
69.3820207118988,-10.14,11.09,40.93,30.66,9.94,4.2
69.93291449546814,1358.01,13.65,35.38,25.72,12.83,6.53
70.372962474823,77.16,7.86,27.74,24.71,20.75,8.8
70.92333436012268,-18.23,26.15,26.66,25.46,9.07,10.38
71.36325693130493,6160.3,29.07,19.58,25.53,15.31,7.78
71.91399836540222,781.05,19.93,13.86,25.58,24.5,13.21
72.35524606704712,-5895.68,22.4,46.06,19.25,7.33,3.99
72.9050498008728,-281.85,22.04,45.17,19.06,8.02,4.27
73.34627103805542,256.41,21.07,42.9,19.29,9.22,4.75
73.89906859397888,-323.12,16.88,41.28,21.83,10.06,5.81
74.44811034202576,732.82,15.79,44.06,14.15,12.23,7.92
74.88872814178467,-31.64,11.88,36.32,12.04,18.18,13.39
75.44036197662354,446.36,10.94,17.74,21.93,30.32,11.57
75.88171648979187,-574.44,14.15,12.55,17.29,34.08,11.61
76.43328809738159,-11.42,6.72,15.51,12.13,40.9,14.25
76.87405157089233,-447.17,10.58,8.2,33.81,29.71,8.85
77.42588591575623,-32.72,7.14,5.94,27.97,39.54,8.72
77.86481404304504,273.58,4.52,4.37,35.65,32.05,13.84
78.43250346183777,154.69,2.9,16.43,25.0,30.05,15.19
78.87233281135559,258.13,4.15,8.78,36.56,29.43,12.0
79.42660880088806,-206.9,5.32,4.28,28.46,36.65,13.64
79.86999344825745,-979.63,40.31,14.76,10.76,19.04,9.79
80.42438197135925,391.01,20.85,21.21,18.44,25.48,7.18
80.8663809299469,336.33,14.46,17.05,29.11,25.6,7.3
81.42100191116333,-1006.33,27.98,33.22,24.4,11.19,1.83
81.86071467399597,3757.16,32.05,42.96,19.07,3.67,0.78
82.43134331703186,3754.58,37.02,38.61,15.71,5.04,1.34
82.8731427192688,296.15,35.7,37.0,16.57,6.03,1.94
83.42367148399353,-402.05,31.24,32.36,21.09,9.26,3.07
83.86518001556396,-304.01,24.84,34.74,20.11,12.18,4.17
84.4160783290863,-350.25,19.29,33.28,19.2,15.45,5.6
84.85668635368347,207.48,12.3,31.72,16.28,21.4,7.56
85.40873765945435,-227.76,9.0,32.46,24.78,18.23,7.63
85.95864009857178,743.41,28.07,17.97,28.58,12.89,6.67
86.41569995880127,-745.02,35.27,16.81,16.2,18.64,6.31
86.85841798782349,323.0,27.41,15.36,14.8,24.84,10.97
87.41031241416931,816.69,31.08,11.36,17.32,21.6,12.43
87.86697053909302,-403.55,18.6,26.06,17.17,21.86,10.04
88.41888213157654,-11.55,8.82,26.41,18.17,21.01,15.2
88.86010456085205,-672.82,0.94,1.83,8.14,55.92,29.44
89.44121384620667,-6723.42,32.18,34.37,7.23,13.64,11.06
89.87182068824768,-13629.85,38.38,52.94,3.81,3.17,1.44
90.43926358222961,789.02,38.53,52.07,4.1,3.3,1.64
90.86707091331482,-609.54,38.05,51.12,4.54,3.69,1.94
91.41869831085205,-1395.87,32.0,46.66,5.99,9.23,3.92
91.86064791679382,-2198.42,25.04,42.12,15.03,12.37,2.96
92.41358089447021,-7851.27,29.9,53.05,13.21,2.67,0.79
92.85543704032898,-188.25,29.01,52.04,13.63,3.43,1.14
93.40501093864441,5956.12,22.29,51.68,20.51,3.29,1.7
93.95720148086548,2704.91,24.39,46.68,19.32,4.09,3.46
94.39795446395874,207.3,21.51,40.09,18.51,10.71,5.58
94.95189952850342,-2917.49,19.35,52.01,19.32,5.72,2.55
95.3928279876709,-72.69,17.49,47.18,21.57,8.13,3.49
95.94368982315063,559.53,15.4,39.45,22.33,12.42,5.16
96.38563132286072,1835.82,30.26,54.4,11.77,2.33,0.6
96.93915438652039,898.79,29.65,52.62,11.33,3.7,1.53
97.38026213645935,-760.57,27.52,47.94,14.32,5.31,3.05
97.91646075248718,675.83,24.57,38.59,19.47,7.07,5.33
98.35818600654602,398.06,19.75,33.27,20.05,10.5,9.14
98.91320705413818,-238.83,24.43,17.37,17.09,23.97,9.71
99.35261821746826,205.8,11.92,25.26,12.89,28.31,12.62
99.90518426895142,11086.76,38.18,50.31,5.12,1.76,2.74
100.4582450389862,7774.85,43.21,42.24,4.84,2.77,3.71
100.93066644668579,-860.22,35.78,35.37,5.95,11.18,8.38
101.37277698516846,-323.29,28.7,30.46,7.21,16.46,11.09
101.92584443092346,-4182.03,42.28,42.65,7.21,4.3,2.47
102.37418460845947,-1331.32,36.46,47.74,4.92,6.12,2.61
102.92294692993164,2360.17,37.3,44.97,5.63,6.86,2.89
103.36692261695862,260.3,29.98,42.26,7.54,10.9,6.44
103.92288327217102,-6.68,24.57,39.49,6.64,14.38,8.8
104.36624526977539,8.44,15.4,27.62,19.61,18.09,11.53
104.91774797439575,398.17,10.62,19.39,24.72,19.59,17.29
105.3601942062378,880.16,14.9,11.99,21.43,24.05,18.02
105.9285340309143,209.65,7.43,18.77,22.98,25.53,15.45
106.36951303482056,-293.77,14.14,11.17,18.26,27.55,20.0
106.92074775695801,59.42,8.37,7.21,14.31,37.84,21.34
107.36275625228882,-323.84,4.53,8.73,13.83,46.87,18.36
107.91581964492798,-163.34,7.63,9.66,15.57,39.14,20.52
108.3560745716095,68.47,5.4,6.68,31.81,33.98,15.68
108.9073657989502,-4.4,4.19,8.16,28.26,33.3,14.82
109.34838390350342,-1363.23,29.55,12.82,16.73,25.64,8.0
109.90127682685852,1058.62,37.63,6.4,22.34,18.56,9.42
110.45532155036926,617.07,34.94,5.68,23.72,14.93,14.37
110.88417720794678,171.21,18.07,11.49,31.24,18.25,12.54
111.4362006187439,-293.7,9.9,13.99,24.87,21.44,14.03
111.90990829467773,556.47,9.99,19.51,24.72,20.76,15.36
112.447345495224,68.41,5.13,13.72,22.72,24.33,25.61
112.8895411491394,320.18,4.69,23.03,15.48,24.9,22.66
113.44289183616638,328.42,3.2,11.96,33.82,27.34,16.17
113.88527512550354,173.3,1.89,39.7,21.12,20.75,9.97
114.43591785430908,-339.47,6.69,20.26,28.77,23.26,14.45
